Spotify ID;Artist IDs;Track Name;Album Name;Artist Name;Release Date;Duration (ms);Popularity;Date;Genres;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature
5flH7FY4ledAQboO5a0XQ5;51DevdOxIJin6DB1FXJpD1,3BVPc9s4JXzM6O1InlLxED;SENIN UGRUNA;EL CHAVO;UZI,Mavi;2022-09-09;122000;72;2022;turkish trap,new school turkce rap;785;638;1;-7.081;1;109;357;0.0118;0.0982;348;127.058;4
4kkVO4RL8NLQgCSO7q0ZhT;6sBSLIunx1Je0Y2T77wpkP;Takip;Takip;Motive;2021-09-03;171850;69;2022;turkish hip hop,turkish trap;798;633;5;-10.5;0;0.0553;0.8;0.000948;0.0999;715;114.989;4
4NeOAItkkLHPOw35eDdGQo;27JkefjyyNpoRTWGDIt6Tc,0V2oXYR7DtrZAEFeILRW2r;Sevmiş Gibi;Sevmiş Gibi;Eftalya Yağcı,Lvbel C5;2022-08-12;150004;65;2022;turkish pop,turkce drill,turkish hip hop,turkish trap;816;543;8;-9.358;0;93;207;0.00037;0.0927;314;110.025;4
65tIJClJx8fHo6YW4wVDhi;0L3wrFI3QcbXAvFL7IaPQX;Suçlarımdan Biri;Atlantis;Güneş;2022-06-03;171894;71;2022;turkce kadin rap;763;733;5;-6.534;0;113;138;0;0.0827;587;94.977;4
2MvIexkUblP1QdpBzKot3N;51DevdOxIJin6DB1FXJpD1;CINDY;CINDY;UZI;2021-09-24;119206;70;2022;turkish trap;718;836;11;-4.654;1;317;537;0;0.0817;391;133.16;4
4zamjWcxvLNIkiAmBEQhda;6sBSLIunx1Je0Y2T77wpkP;SAVANA;22;Motive;2022-01-21;203632;60;2022;turkish hip hop,turkish trap;0.49;561;1;-9.178;1;286;407;0.0000023;138;0.57;146.012;4
6zUeLNZHEzENd8ts4V9yj2;0V2oXYR7DtrZAEFeILRW2r,15AZJFNrXtIN4Nk8BIOnS2;GÖNDER GELSİN;C5MODE;Lvbel C5,Batuflex;2022-03-18;126959;61;2022;turkce drill,turkish hip hop,turkish trap;828;665;10;-11.656;0;128;0.0927;0.000511;103;913;139.935;4
46Zp8uVjBCEVeSUDsZ8EwI;3c96G4d2lUOxhomM2mby5S,6h1s4i4XKIYv4ErDelLDN0;Hades;Mythos;Bushido,Samra;2018-09-28;182400;51;2022;german hip hop;758;725;1;-4.88;1;117;0.0234;0;141;705;93.994;4
4Qy2Eo9URGWbV4VzwBTdxU;2JwyRtuXf2l6sTnSnGVIa1,5y9wg9qkGBl0n9v9RzaPKu,1sBkRIssrMs1AbVkOJbc7a;Scarface (feat. Capo & Rick Ross);Genkidama;Farid Bang,CAPO,Rick Ross;2020-05-29;181293;48;2022;german hip hop,dirty south rap,gangster rap,hip hop,rap,southern hip hop,trap;612;665;1;-6.288;0;139;334;0;327;543;88.019;4
7dzuZ548EXqIap1TSQtFOW;6LnJKrtFnTEGdbWQ2riWCL;Ağlattın;Ağlattın;Ezhel;2022-02-11;180200;55;2022;turkish hip hop,turkish trap;701;445;1;-9.931;0;0.0495;575;0;162;527;139.983;4
